"","C_No_Treatment","C_Treatment_A","C_Treatment_B","E_No_Treatment","E_Treatment_A","E_Treatment_B"
"163",112953.478279712,296744.894075632,264552.172388177,21.4320987903269,22.9101360365291,22.1154046355883
"164",127145.80727096,345027.287159344,326071.767857095,19.4563206815687,21.4616599800664,20.2724151262981
"165",117676.559146266,295153.991905484,273459.242248686,21.1184513264796,22.8721743319874,21.7113256725283
"166",122075.74550964,305784.65935142,291183.832173779,20.4710669765408,22.4716466912491,21.0949897398425
"167",115012.2128223,279660.139937276,249461.594564739,21.4491472087358,23.0578973671871,22.213820667317
"168",126583.935847942,338681.025066495,301695.128661412,20.355243106317,22.2690285865507,21.002331821053
"169",117455.058176763,324097.820811916,296386.004299224,19.4119299486104,21.5078653123471,20.0758924296489
"170",115086.175359722,281821.418743572,244211.987611241,21.6867887771266,23.2829583862964,22.5430262712237
"171",120099.802986495,322552.6952166,295513.123490998,19.550772937828,21.6999343870412,20.539285420142
"172",122594.327403052,308271.927765373,300142.818315853,20.1820017121171,22.1449336050562,20.7369539839097
"173",120357.42456332,327661.943484988,303415.455153214,20.5458915918671,22.4332504631049,21.048727518171
"174",125409.625664192,354245.161706202,321088.77788165,19.1632128832266,21.2684525391778,19.9732925600796
"175",126578.601080032,335217.21861699,295568.902989578,20.0873744624207,22.3084692125938,20.8018001802198
"176",118777.876513335,309510.656888855,290497.170574929,20.5221705577564,22.4412955724016,21.1232210024184
"177",114537.125510341,279312.323004118,254745.353268978,21.1188474023008,22.8636762964433,21.8683205077391
"178",115682.528305331,304945.432601739,271166.000680985,20.8221160844981,22.6435196296573,21.780332602343
"179",109545.478198177,280061.337439934,254699.904932492,21.4744063952913,23.1440699252917,22.2308975368645
"180",129714.912071237,316302.104798734,305777.147372962,20.2300739915342,22.3297941624343,20.6653966009584
"181",118099.33569434,268367.442581842,268956.997399777,20.8576415924949,22.7354176809958,21.2663939591125
"182",118926.927398382,277614.203569972,262585.224162187,21.5656260402004,23.3373308762516,22.1883837299267
"183",111475.347124657,310319.634290272,281108.633732502,20.445210144609,22.0740285114665,21.3352950112137
"184",129438.597928468,294559.336107326,264587.169135113,20.5929472057971,22.531539857439,21.5441014761576
"185",123758.258040973,314557.74056014,278146.642440844,20.2124091047593,22.0336716373856,20.9758410535725
"186",120909.883458496,296798.414934211,290623.432801203,21.2294890069351,23.0191933373611,21.7081314681661
"187",125036.410910065,318182.220436831,286397.983143274,20.0181136407672,22.0926207322108,20.8046685920447
"188",106737.226560905,310300.083866379,264352.715680939,20.9351242232375,22.50638435521,21.83727198028
"189",138711.006036224,361999.280123924,343854.81040702,19.1102742895629,21.0420435909398,19.7764163158828
"190",129677.186393709,301312.123852384,279168.235619913,21.1695562934022,22.9917786029142,21.856158438972
"191",120854.780893146,309849.36570026,304713.782530192,19.6918112392211,21.9642866001404,20.2362541733163
"192",110117.587680031,288222.557641551,278136.217767825,20.1150103688373,21.8491411179581,20.7295101034551
"193",114838.318115001,286411.760491371,263915.980612028,21.3599877841713,23.0430469017829,22.2290942683657
"194",128627.433099508,314375.094532008,298918.132475172,20.1585111056405,22.2090122439117,20.8146647218033
"195",118524.270362946,276110.526624682,257910.544377464,21.3855073149664,23.0806629081043,22.1983376510399
"196",133700.047867905,347636.049805737,332465.988028915,19.0179683446899,21.3754718531643,19.6458383112957
"197",121598.302963077,301911.815932162,272450.620052875,20.2167768791316,22.3104906159035,21.038731710249
"198",127624.017415564,319822.191134051,290988.657217225,20.152219260561,22.0891619020321,20.9662422853329
"199",118560.069904494,335888.425673545,318321.963033911,18.8808709336378,20.6752674670718,19.732075051043
"200",117312.035984761,312017.373775148,285626.759834227,20.1590774979056,22.0529752202249,21.1047749347552
"201",115866.614494475,294076.771949612,281319.056652089,20.8422049618643,22.4711818685509,21.3686384737299
"202",110490.983740442,268445.568392602,234094.844187672,21.7536656109261,23.4632551866895,22.4263282463408
"203",115109.528910609,315093.098699542,287073.054748233,20.3922870361789,22.310154237683,20.9233719081167
"204",116126.144649395,271087.267967639,234290.875878823,21.3418569107896,23.0300921775987,22.2925338508035
"205",116003.959049372,279015.948247738,246691.692151746,21.2844806507593,23.3446507944761,21.9685075453545
